Index,File,Are equals,Size in ntsc_1.0,Size in ntsc_1.0_rc,Size proportion,Size difference,Bytes different,Words different
256,ovl_Obj_Oshihiki,False,6832,6832,1.0,0,211,116
257,ovl_Bg_Gate_Shutter,False,1152,1152,1.0,0,37,22
258,ovl_Eff_Dust,False,5088,5088,1.0,0,159,97
259,ovl_Bg_Spot01_Fusya,False,672,672,1.0,0,27,15
260,ovl_Bg_Spot01_Idohashira,False,3072,3072,1.0,0,106,59
261,ovl_Bg_Spot01_Idomizu,False,784,784,1.0,0,34,19
262,ovl_Bg_Po_Syokudai,False,2384,2384,1.0,0,55,36
263,ovl_Bg_Ganon_Otyuka,False,9792,9792,1.0,0,146,92
264,ovl_Bg_Spot15_Rrbox,False,3552,3552,1.0,0,110,62
265,ovl_Bg_Umajump,False,400,400,1.0,0,19,13
266,ovl_En_Insect,False,9504,9408,1.01,96,2338,830
267,ovl_En_Butte,False,5584,5584,1.0,0,223,132
268,ovl_En_Fish,False,8464,8464,1.0,0,320,199
269,ovl_Bg_Spot08_Iceblock,False,4160,4160,1.0,0,245,137
270,ovl_Item_Etcetera,False,2256,2256,1.0,0,108,58
271,ovl_Arrow_Fire,False,7872,7872,1.0,0,82,46
272,ovl_Arrow_Ice,False,7904,7904,1.0,0,82,46
273,ovl_Arrow_Light,False,7920,7920,1.0,0,80,46
274,ovl_Obj_Kibako,False,3328,3328,1.0,0,104,64
275,ovl_Obj_Tsubo,False,4080,4080,1.0,0,150,91
276,ovl_En_Wonder_Item,False,3152,3152,1.0,0,77,43
277,ovl_En_Ik,False,17968,17968,1.0,0,661,392
278,ovl_Demo_Ik,False,5392,5392,1.0,0,195,106
279,ovl_En_Skj,False,14640,14432,1.014,208,10288,3022
280,ovl_En_Skjneedle,False,784,784,1.0,0,28,16
281,ovl_En_G_Switch,False,6192,6192,1.0,0,173,108
282,ovl_Demo_Ext,False,2368,2368,1.0,0,80,43
283,ovl_Demo_Shd,False,9232,9232,1.0,0,49,26
284,ovl_En_Dns,False,5008,5008,1.0,0,270,149
285,ovl_Elf_Msg,False,1520,1520,1.0,0,35,18
286,ovl_En_Honotrap,False,5456,5456,1.0,0,163,102
287,ovl_En_Tubo_Trap,False,3232,3232,1.0,0,98,65
288,ovl_Obj_Ice_Poly,False,2480,2480,1.0,0,69,46
289,ovl_Bg_Spot03_Taki,False,2288,2288,1.0,0,39,25
290,ovl_Bg_Spot07_Taki,False,1472,1472,1.0,0,35,24
291,ovl_En_Fz,False,8208,8208,1.0,0,208,132
292,ovl_En_Po_Relay,False,5904,5904,1.0,0,166,105
293,ovl_Bg_Relay_Objects,False,1968,1968,1.0,0,83,50
294,ovl_En_Diving_Game,False,6576,6560,1.002,16,4236,1261
295,ovl_En_Kusa,False,5344,5344,1.0,0,212,115
296,ovl_Obj_Bean,False,10128,10128,1.0,0,415,254
297,ovl_Obj_Bombiwa,False,1392,1392,1.0,0,48,31
298,ovl_Obj_Switch,False,7616,7616,1.0,0,292,167
299,ovl_Obj_Elevator,False,960,960,1.0,0,39,23
300,ovl_Obj_Lift,False,2592,2592,1.0,0,94,58
301,ovl_Obj_Hsblock,False,1488,1488,1.0,0,57,33
302,ovl_En_Okarina_Tag,False,5344,5344,1.0,0,110,58
303,ovl_En_Yabusame_Mark,False,1744,1744,1.0,0,40,27
304,ovl_En_Goroiwa,False,9152,9152,1.0,0,272,159
305,ovl_En_Ex_Ruppy,False,4288,4288,1.0,0,118,67
306,ovl_En_Toryo,False,3216,3216,1.0,0,144,82
307,ovl_En_Daiku,False,5952,5952,1.0,0,178,109
308,ovl_En_Nwc,False,2624,2624,1.0,0,63,37
309,ovl_En_Blkobj,False,1376,1376,1.0,0,50,30
310,ovl_Item_Inbox,False,352,352,1.0,0,11,6
311,ovl_En_Ge1,False,8240,8240,1.0,0,328,190
312,ovl_Obj_Blockstop,False,416,416,1.0,0,10,7
313,ovl_En_Sda,False,5696,5696,1.0,0,95,52
314,ovl_En_Clear_Tag,False,35696,35696,1.0,0,332,221
315,ovl_En_Niw_Lady,False,6368,6368,1.0,0,258,154
316,ovl_En_Gm,False,3376,3376,1.0,0,128,77
317,ovl_En_Ms,False,1776,1776,1.0,0,78,45
318,ovl_En_Hs,False,2976,2976,1.0,0,127,76
319,ovl_Bg_Ingate,False,912,912,1.0,0,32,19
320,ovl_En_Kanban,False,12624,12624,1.0,0,243,163
321,ovl_En_Heishi3,False,2512,2512,1.0,0,70,47
322,ovl_En_Syateki_Niw,False,8336,8336,1.0,0,233,147
323,ovl_En_Attack_Niw,False,4704,4704,1.0,0,152,105
324,ovl_Bg_Spot01_Idosoko,False,528,528,1.0,0,25,16
325,ovl_En_Sa,False,8816,8816,1.0,0,331,190
326,ovl_En_Wonder_Talk,False,1680,1680,1.0,0,52,29
327,ovl_Bg_Gjyo_Bridge,False,1280,1280,1.0,0,49,30
328,ovl_En_Ds,False,3104,3104,1.0,0,113,68
329,ovl_En_Mk,False,3728,3728,1.0,0,119,76
330,ovl_En_Bom_Bowl_Man,False,5440,5440,1.0,0,181,114
331,ovl_En_Bom_Bowl_Pit,False,2416,2400,1.007,16,1865,566
332,ovl_En_Owl,False,15264,15264,1.0,0,613,349
333,ovl_En_Ishi,False,37200,37200,1.0,0,208,123
334,ovl_Obj_Hana,False,784,784,1.0,0,34,21
335,ovl_Obj_Lightswitch,False,5168,5168,1.0,0,156,91
336,ovl_Obj_Mure2,False,2592,2592,1.0,0,81,47
337,ovl_En_Go,False,17984,17984,1.0,0,1336,701
338,ovl_En_Fu,False,3392,3392,1.0,0,113,70
339,ovl_En_Changer,False,2528,2528,1.0,0,59,35
340,ovl_Bg_Jya_Megami,False,4576,4576,1.0,0,141,84
341,ovl_Bg_Jya_Lift,False,1360,1360,1.0,0,50,31
342,ovl_Bg_Jya_Bigmirror,False,2112,2112,1.0,0,64,36
343,ovl_Bg_Jya_Bombchuiwa,False,2864,2864,1.0,0,94,55
344,ovl_Bg_Jya_Amishutter,False,912,912,1.0,0,38,23
345,ovl_Bg_Jya_Bombiwa,False,1472,1472,1.0,0,51,32
346,ovl_Bg_Spot18_Basket,False,4080,4080,1.0,0,151,104
347,ovl_En_Ganon_Organ,False,28672,28672,1.0,0,150,76
348,ovl_En_Siofuki,False,3504,3504,1.0,0,103,60
349,ovl_En_Stream,False,1424,1424,1.0,0,44,24
350,ovl_En_Mm,False,5664,5664,1.0,0,216,123
351,ovl_En_Ko,False,16704,16704,1.0,0,863,465
352,ovl_En_Kz,False,5392,5392,1.0,0,213,123
353,ovl_En_Weather_Tag,False,3824,3824,1.0,0,181,96
354,ovl_Bg_Sst_Floor,False,1376,1376,1.0,0,44,31
355,ovl_En_Ani,False,3440,3376,1.019,64,2638,764
356,ovl_En_Ex_Item,False,4464,4480,0.996,-16,1505,554
357,ovl_Bg_Jya_Ironobj,False,3504,3504,1.0,0,130,76
358,ovl_En_Js,False,2512,2512,1.0,0,93,60
359,ovl_En_Jsjutan,False,19904,19904,1.0,0,133,74
360,ovl_En_Cs,False,4656,4656,1.0,0,166,100
361,ovl_En_Md,False,9840,9840,1.0,0,443,257
362,ovl_En_Hy,False,14656,14672,0.999,-16,8418,2839
363,ovl_En_Ganon_Mant,False,16928,16928,1.0,0,129,78
364,ovl_En_Okarina_Effect,False,944,944,1.0,0,33,21
365,ovl_En_Mag,False,12048,12048,1.0,0,171,90
366,ovl_Door_Gerudo,False,1520,1520,1.0,0,44,26
367,ovl_Elf_Msg2,False,1136,1136,1.0,0,37,19
368,ovl_Demo_Gt,False,22016,22016,1.0,0,827,467
369,ovl_En_Po_Field,False,14816,14784,1.002,32,6171,1883
370,ovl_Efc_Erupc,False,2784,2784,1.0,0,60,38
371,ovl_Bg_Zg,False,1136,1136,1.0,0,52,29
372,ovl_En_Heishi4,False,3840,3840,1.0,0,116,73
373,ovl_En_Zl3,False,32336,32368,0.999,-32,17906,5526
374,ovl_Boss_Ganon2,False,70384,70384,1.0,0,1587,996
375,ovl_En_Kakasi,False,3392,3392,1.0,0,117,81
376,ovl_En_Takara_Man,False,2240,2240,1.0,0,67,41
377,ovl_Obj_Makeoshihiki,False,1168,1168,1.0,0,24,14
378,ovl_Oceff_Spot,False,3888,3888,1.0,0,71,43
379,ovl_End_Title,False,16688,16688,1.0,0,45,26
380,ovl_En_Torch,False,240,240,1.0,0,7,4
381,ovl_Demo_Ec,False,14432,14432,1.0,0,873,431
382,ovl_Shot_Sun,False,1728,1728,1.0,0,51,32
383,ovl_En_Dy_Extra,False,1408,1408,1.0,0,35,20
384,ovl_En_Wonder_Talk2,False,1696,1696,1.0,0,31,17
385,ovl_En_Ge2,False,6560,6560,1.0,0,214,128
386,ovl_Obj_Roomtimer,False,592,592,1.0,0,28,16
387,ovl_En_Ssh,False,9712,9712,1.0,0,690,282
388,ovl_En_Sth,False,16560,16560,1.0,0,224,131
389,ovl_Oceff_Wipe,False,3408,3408,1.0,0,40,24
390,ovl_Effect_Ss_Dust,False,2096,2096,1.0,0,58,32
391,ovl_Effect_Ss_KiraKira,False,1648,1648,1.0,0,51,29
392,ovl_Effect_Ss_Bomb,False,1056,1056,1.0,0,38,22
393,ovl_Effect_Ss_Bomb2,False,2352,2352,1.0,0,64,37
394,ovl_Effect_Ss_Blast,False,912,912,1.0,0,18,11
395,ovl_Effect_Ss_G_Spk,False,1456,1456,1.0,0,35,21
396,ovl_Effect_Ss_D_Fire,False,1264,1264,1.0,0,28,16
397,ovl_Effect_Ss_Bubble,False,1152,1152,1.0,0,40,22
398,ovl_Effect_Ss_G_Ripple,False,1376,1376,1.0,0,27,16
399,ovl_Effect_Ss_G_Splash,False,1200,1200,1.0,0,18,9
400,ovl_Effect_Ss_G_Magma,False,608,608,1.0,0,15,7
401,ovl_Effect_Ss_G_Fire,False,656,656,1.0,0,13,6
402,ovl_Effect_Ss_Lightning,False,1744,1744,1.0,0,53,31
403,ovl_Effect_Ss_Dt_Bubble,False,1424,1424,1.0,0,30,16
404,ovl_Effect_Ss_Hahen,False,1600,1600,1.0,0,48,29
405,ovl_Effect_Ss_Stick,False,928,928,1.0,0,33,20
406,ovl_Effect_Ss_Sibuki,False,1744,1744,1.0,0,56,31
407,ovl_Effect_Ss_Sibuki2,False,816,816,1.0,0,16,9
408,ovl_Effect_Ss_G_Magma2,False,1296,1296,1.0,0,25,15
409,ovl_Effect_Ss_Stone1,False,912,912,1.0,0,22,12
410,ovl_Effect_Ss_HitMark,False,1360,1360,1.0,0,27,15
411,ovl_Effect_Ss_Fhg_Flash,False,3968,3968,1.0,0,84,51
412,ovl_Effect_Ss_K_Fire,False,1072,1072,1.0,0,20,13
413,ovl_Effect_Ss_Solder_Srch_Ball,False,432,432,1.0,0,5,3
414,ovl_Effect_Ss_Kakera,False,4240,4240,1.0,0,125,67
415,ovl_Effect_Ss_Ice_Piece,False,1088,1088,1.0,0,27,17
416,ovl_Effect_Ss_En_Ice,False,2064,2064,1.0,0,40,25
