Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
244,ovl_En_Anubice_Tag,False,720,976,0.738,-256,621
245,ovl_Bg_Haka_Gate,False,4224,4544,0.93,-320,3723
246,ovl_Bg_Spot15_Saku,False,832,992,0.839,-160,720
247,ovl_Bg_Jya_Goroiwa,False,1920,1872,1.026,48,1553
248,ovl_Bg_Jya_Zurerukabe,False,1712,2096,0.817,-384,1533
249,ovl_Bg_Jya_Cobra,False,7456,8320,0.896,-864,6756
250,ovl_Bg_Jya_Kanaami,False,944,1120,0.843,-176,813
251,ovl_Fishing,False,80336,83664,0.96,-3328,71469
252,ovl_Obj_Oshihiki,False,6832,7760,0.88,-928,6097
253,ovl_Bg_Gate_Shutter,False,1152,1376,0.837,-224,1026
254,ovl_Eff_Dust,False,5088,5344,0.952,-256,4220
255,ovl_Bg_Spot01_Fusya,False,672,800,0.84,-128,579
256,ovl_Bg_Spot01_Idohashira,False,3072,3584,0.857,-512,2610
257,ovl_Bg_Spot01_Idomizu,False,784,928,0.845,-144,541
258,ovl_Bg_Po_Syokudai,False,2384,2608,0.914,-224,2040
259,ovl_Bg_Ganon_Otyuka,False,9792,10304,0.95,-512,8598
260,ovl_Bg_Spot15_Rrbox,False,3552,3824,0.929,-272,3106
261,ovl_Bg_Umajump,False,400,384,1.042,16,302
262,ovl_En_Insect,False,9504,9792,0.971,-288,8300
263,ovl_En_Butte,False,5584,5744,0.972,-160,4803
264,ovl_En_Fish,False,8464,8848,0.957,-384,7181
265,ovl_Bg_Spot08_Iceblock,False,4160,4480,0.929,-320,3710
266,ovl_Item_Etcetera,False,2256,2544,0.887,-288,1969
267,ovl_Arrow_Fire,False,7872,8128,0.969,-256,6819
268,ovl_Arrow_Ice,False,7904,8160,0.969,-256,6840
269,ovl_Arrow_Light,False,7920,8176,0.969,-256,6720
270,ovl_Obj_Kibako,False,3328,3376,0.986,-48,2607
271,ovl_Obj_Tsubo,False,4080,4240,0.962,-160,3405
272,ovl_En_Wonder_Item,False,3152,4016,0.785,-864,2787
273,ovl_En_Ik,False,17968,19600,0.917,-1632,15447
274,ovl_Demo_Ik,False,5392,6368,0.847,-976,4598
275,ovl_En_Skj,False,14640,15344,0.954,-704,12414
276,ovl_En_Skjneedle,False,784,960,0.817,-176,669
277,ovl_En_G_Switch,False,6192,7840,0.79,-1648,5618
278,ovl_Demo_Ext,False,2368,2736,0.865,-368,1987
279,ovl_Demo_Shd,False,9232,9360,0.986,-128,6063
