Extracting baserom with 4 CPU cores.
extracting baserom/ovl_Demo_Effect (0x00CD7A10, 0x00CDD5B0)
extracting baserom/ovl_Demo_Ext (0x00CDD5B0, 0x00CDDF00)
extracting baserom/ovl_Demo_Geff (0x00CDDF00, 0x00CDE720)
extracting baserom/ovl_Demo_Gj (0x00CDE720, 0x00CE23D0)
extracting baserom/ovl_Demo_Go (0x00CE23D0, 0x00CE3120)
extracting baserom/ovl_Demo_Gt (0x00CE3120, 0x00CE8730)
extracting baserom/ovl_Demo_Ik (0x00CE8730, 0x00CE9C40)
extracting baserom/ovl_Demo_Im (0x00CE9C40, 0x00CEDBB0)
extracting baserom/ovl_Demo_Kankyo (0x00CEDBB0, 0x00CF1850)
extracting baserom/ovl_Demo_Kekkai (0x00CF1850, 0x00CF2B40)
extracting baserom/ovl_Demo_Sa (0x00CF2B40, 0x00CF5660)
extracting baserom/ovl_Demo_Shd (0x00CF5660, 0x00CF7A70)
extracting baserom/ovl_Demo_Tre_Lgt (0x00CF7A70, 0x00CF8180)
extracting baserom/ovl_Door_Ana (0x00CF8180, 0x00CF87F0)
extracting baserom/ovl_Door_Gerudo (0x00CF87F0, 0x00CF8DE0)
extracting baserom/ovl_Door_Killer (0x00CF8DE0, 0x00CFA350)
extracting baserom/ovl_Door_Shutter (0x00CFA350, 0x00CFC610)
extracting baserom/ovl_Door_Toki (0x00CFC610, 0x00CFC770)
extracting baserom/ovl_Door_Warp1 (0x00CFC770, 0x00D00A70)
extracting baserom/ovl_Efc_Erupc (0x00D00A70, 0x00D01560)
extracting baserom/ovl_Eff_Dust (0x00D01560, 0x00D02930)
extracting baserom/ovl_Effect_Ss_Blast (0x00D02930, 0x00D02CC0)
extracting baserom/ovl_Effect_Ss_Bomb (0x00D02CC0, 0x00D030F0)
extracting baserom/ovl_Effect_Ss_Bomb2 (0x00D030F0, 0x00D039F0)
extracting baserom/ovl_Effect_Ss_Bubble (0x00D039F0, 0x00D03E70)
extracting baserom/ovl_Effect_Ss_D_Fire (0x00D03E70, 0x00D04360)
extracting baserom/ovl_Effect_Ss_Dead_Db (0x00D04360, 0x00D04840)
extracting baserom/ovl_Effect_Ss_Dead_Dd (0x00D04840, 0x00D04DD0)
extracting baserom/ovl_Effect_Ss_Dead_Ds (0x00D04DD0, 0x00D05250)
extracting baserom/ovl_Effect_Ss_Dead_Sound (0x00D05250, 0x00D05390)
extracting baserom/ovl_Effect_Ss_Dt_Bubble (0x00D05390, 0x00D05920)
extracting baserom/ovl_Effect_Ss_Dust (0x00D05920, 0x00D06160)
extracting baserom/ovl_Effect_Ss_En_Fire (0x00D06160, 0x00D068B0)
extracting baserom/ovl_Effect_Ss_En_Ice (0x00D068B0, 0x00D07170)
extracting baserom/ovl_Effect_Ss_Extra (0x00D07170, 0x00D07530)
extracting baserom/ovl_Effect_Ss_Fcircle (0x00D07530, 0x00D079E0)
extracting baserom/ovl_Effect_Ss_Fhg_Flash (0x00D079E0, 0x00D08960)
extracting baserom/ovl_Effect_Ss_Fire_Tail (0x00D08960, 0x00D09060)
extracting baserom/ovl_Effect_Ss_G_Fire (0x00D09060, 0x00D092F0)
extracting baserom/ovl_Effect_Ss_G_Magma (0x00D092F0, 0x00D09550)
extracting baserom/ovl_Effect_Ss_G_Magma2 (0x00D09550, 0x00D09A60)
extracting baserom/ovl_Effect_Ss_G_Ripple (0x00D09A60, 0x00D09FC0)
extracting baserom/ovl_Effect_Ss_G_Spk (0x00D09FC0, 0x00D0A570)
extracting baserom/ovl_Effect_Ss_G_Splash (0x00D0A570, 0x00D0AA20)
