Index,File,Are equals,Size in ntsc_1.0,Size in ntsc_1.1,Size proportion,Size difference,Bytes different,Words different,Opcodes difference,Same opcode but different arguments
92,ovl_Bg_Hidan_Syoku reloc,True,88,88,1.0,0,0,0,,
93,ovl_En_Xc text,False,23184,23184,1.0,0,456,408,0,408
93,ovl_En_Xc data,False,528,528,1.0,0,110,91,,
93,ovl_En_Xc rodata,False,224,224,1.0,0,32,29,,
93,ovl_En_Xc bss,True,48,48,1.0,0,0,0,,
93,ovl_En_Xc reloc,True,2460,2460,1.0,0,0,0,,
94,ovl_Bg_Hidan_Curtain text,False,2400,2400,1.0,0,7,6,0,6
94,ovl_Bg_Hidan_Curtain data,False,128,128,1.0,0,4,4,,
94,ovl_Bg_Hidan_Curtain reloc,True,160,160,1.0,0,0,0,,
95,ovl_Bg_Spot00_Hanebasi text,False,4016,4016,1.0,0,13,10,0,10
95,ovl_Bg_Spot00_Hanebasi data,False,64,64,1.0,0,4,4,,
95,ovl_Bg_Spot00_Hanebasi rodata,True,48,48,1.0,0,0,0,,
95,ovl_Bg_Spot00_Hanebasi reloc,True,212,212,1.0,0,0,0,,
96,ovl_En_Mb text,False,15056,15136,1.005,80,2491,754,613,141
96,ovl_En_Mb data,False,656,656,1.0,0,6,5,,
96,ovl_En_Mb rodata,False,144,144,1.0,0,42,22,,
96,ovl_En_Mb reloc,False,824,824,1.0,0,57,46,,
97,ovl_En_Bombf text,False,4768,4768,1.0,0,17,13,0,13
97,ovl_En_Bombf data,False,192,192,1.0,0,8,5,,
97,ovl_En_Bombf rodata,True,32,32,1.0,0,0,0,,
97,ovl_En_Bombf reloc,True,208,208,1.0,0,0,0,,
98,ovl_Bg_Hidan_Firewall text,False,1584,1584,1.0,0,10,7,0,7
98,ovl_Bg_Hidan_Firewall data,False,128,128,1.0,0,5,3,,
98,ovl_Bg_Hidan_Firewall rodata,True,16,16,1.0,0,0,0,,
98,ovl_Bg_Hidan_Firewall reloc,True,124,124,1.0,0,0,0,,
99,ovl_Bg_Dy_Yoseizo text,False,10864,11024,1.015,160,9725,2663,2407,256
99,ovl_Bg_Dy_Yoseizo data,False,160,160,1.0,0,5,4,,
99,ovl_Bg_Dy_Yoseizo rodata,True,80,80,1.0,0,0,0,,
99,ovl_Bg_Dy_Yoseizo reloc,False,472,480,1.017,8,201,118,,
100,ovl_En_Zl2 text,False,16096,16096,1.0,0,505,305,0,305
100,ovl_En_Zl2 data,False,240,240,1.0,0,88,44,,
100,ovl_En_Zl2 rodata,False,192,192,1.0,0,72,36,,
100,ovl_En_Zl2 reloc,True,1664,1664,1.0,0,0,0,,
101,ovl_Bg_Hidan_Fslift text,False,1056,1056,1.0,0,7,5,0,5
101,ovl_Bg_Hidan_Fslift data,False,48,48,1.0,0,8,4,,
101,ovl_Bg_Hidan_Fslift rodata,True,16,16,1.0,0,0,0,,
101,ovl_Bg_Hidan_Fslift reloc,True,84,84,1.0,0,0,0,,
102,ovl_En_OE2 text,False,128,128,1.0,0,2,1,0,1
102,ovl_En_OE2 data,False,32,32,1.0,0,8,4,,
102,ovl_En_OE2 reloc,True,28,28,1.0,0,0,0,,
103,ovl_Bg_Ydan_Hasi text,False,1744,1744,1.0,0,8,5,0,5
103,ovl_Bg_Ydan_Hasi data,False,48,48,1.0,0,8,4,,
103,ovl_Bg_Ydan_Hasi rodata,True,16,16,1.0,0,0,0,,
103,ovl_Bg_Ydan_Hasi reloc,True,136,136,1.0,0,0,0,,
104,ovl_Bg_Ydan_Maruta text,False,1456,1456,1.0,0,8,4,0,4
104,ovl_Bg_Ydan_Maruta data,False,176,176,1.0,0,10,5,,
104,ovl_Bg_Ydan_Maruta reloc,True,100,100,1.0,0,0,0,,
105,ovl_Boss_Ganondrof text,False,17392,17392,1.0,0,112,74,0,74
105,ovl_Boss_Ganondrof data,False,1168,1168,1.0,0,8,4,,
105,ovl_Boss_Ganondrof rodata,False,272,272,1.0,0,54,27,,
105,ovl_Boss_Ganondrof reloc,True,968,968,1.0,0,0,0,,
106,ovl_En_Am text,False,8224,8224,1.0,0,76,58,0,58
106,ovl_En_Am data,False,512,512,1.0,0,8,4,,
106,ovl_En_Am rodata,True,16,16,1.0,0,0,0,,
106,ovl_En_Am reloc,True,436,436,1.0,0,0,0,,
107,ovl_En_Dekubaba text,False,13728,13728,1.0,0,106,70,0,70
107,ovl_En_Dekubaba data,False,416,416,1.0,0,10,5,,
107,ovl_En_Dekubaba rodata,True,96,96,1.0,0,0,0,,
107,ovl_En_Dekubaba reloc,True,736,736,1.0,0,0,0,,
108,ovl_En_M_Fire1 text,True,288,288,1.0,0,0,0,0,0
108,ovl_En_M_Fire1 data,False,80,80,1.0,0,6,3,,
108,ovl_En_M_Fire1 reloc,True,20,20,1.0,0,0,0,,
109,ovl_En_M_Thunder text,False,5072,5072,1.0,0,69,43,0,43
109,ovl_En_M_Thunder data,False,144,144,1.0,0,8,4,,
109,ovl_En_M_Thunder rodata,True,80,80,1.0,0,0,0,,
109,ovl_En_M_Thunder reloc,True,296,296,1.0,0,0,0,,
110,ovl_Bg_Ddan_Jd text,False,1472,1472,1.0,0,3,2,0,2
110,ovl_Bg_Ddan_Jd data,False,48,48,1.0,0,8,4,,
110,ovl_Bg_Ddan_Jd reloc,True,60,60,1.0,0,0,0,,
111,ovl_Bg_Breakwall text,False,2880,2880,1.0,0,24,17,0,17
111,ovl_Bg_Breakwall data,False,560,560,1.0,0,6,3,,
