Extracting baserom with 4 CPU cores.
extracting baserom/ovl_Boss_Sst (0x00CF1120, 0x00CFD7E0)
extracting baserom/ovl_Boss_Tw (0x00CFD7E0, 0x00D11350)
extracting baserom/ovl_Boss_Va (0x00D11350, 0x00D1FFE0)
extracting baserom/ovl_Demo_6K (0x00D1FFE0, 0x00D23160)
extracting baserom/ovl_Demo_Du (0x00D23160, 0x00D26B40)
extracting baserom/ovl_Demo_Ec (0x00D26B40, 0x00D2A5E0)
extracting baserom/ovl_Demo_Effect (0x00D2A5E0, 0x00D30A20)
extracting baserom/ovl_Demo_Ext (0x00D30A20, 0x00D314D0)
extracting baserom/ovl_Demo_Geff (0x00D314D0, 0x00D31FC0)
extracting baserom/ovl_Demo_Gj (0x00D31FC0, 0x00D35F00)
extracting baserom/ovl_Demo_Go (0x00D35F00, 0x00D36D00)
extracting baserom/ovl_Demo_Gt (0x00D36D00, 0x00D3C990)
extracting baserom/ovl_Demo_Ik (0x00D3C990, 0x00D3E270)
extracting baserom/ovl_Demo_Im (0x00D3E270, 0x00D42510)
extracting baserom/ovl_Demo_Kankyo (0x00D42510, 0x00D46610)
extracting baserom/ovl_Demo_Kekkai (0x00D46610, 0x00D47AA0)
extracting baserom/ovl_Demo_Sa (0x00D47AA0, 0x00D4A870)
extracting baserom/ovl_Demo_Shd (0x00D4A870, 0x00D4CD00)
extracting baserom/ovl_Demo_Tre_Lgt (0x00D4CD00, 0x00D4D530)
extracting baserom/ovl_Door_Ana (0x00D4D530, 0x00D4DC20)
extracting baserom/ovl_Door_Gerudo (0x00D4DC20, 0x00D4E290)
extracting baserom/ovl_Door_Killer (0x00D4E290, 0x00D4F8E0)
extracting baserom/ovl_Door_Shutter (0x00D4F8E0, 0x00D51C60)
extracting baserom/ovl_Door_Toki (0x00D51C60, 0x00D51DC0)
extracting baserom/ovl_Door_Warp1 (0x00D51DC0, 0x00D562E0)
extracting baserom/ovl_Efc_Erupc (0x00D562E0, 0x00D56F00)
extracting baserom/ovl_Eff_Dust (0x00D56F00, 0x00D583E0)
extracting baserom/ovl_Effect_Ss_Blast (0x00D583E0, 0x00D587E0)
extracting baserom/ovl_Effect_Ss_Bomb (0x00D587E0, 0x00D58C80)
extracting baserom/ovl_Effect_Ss_Bomb2 (0x00D58C80, 0x00D59670)
extracting baserom/ovl_Effect_Ss_Bubble (0x00D59670, 0x00D59B80)
extracting baserom/ovl_Effect_Ss_D_Fire (0x00D59B80, 0x00D5A0D0)
extracting baserom/ovl_Effect_Ss_Dead_Db (0x00D5A0D0, 0x00D5A610)
extracting baserom/ovl_Effect_Ss_Dead_Dd (0x00D5A610, 0x00D5AC40)
extracting baserom/ovl_Effect_Ss_Dead_Ds (0x00D5AC40, 0x00D5B160)
extracting baserom/ovl_Effect_Ss_Dead_Sound (0x00D5B160, 0x00D5B2E0)
extracting baserom/ovl_Effect_Ss_Dt_Bubble (0x00D5B2E0, 0x00D5B900)
extracting baserom/ovl_Effect_Ss_Dust (0x00D5B900, 0x00D5C190)
extracting baserom/ovl_Effect_Ss_En_Fire (0x00D5C190, 0x00D5C960)
extracting baserom/ovl_Effect_Ss_En_Ice (0x00D5C960, 0x00D5D2F0)
extracting baserom/ovl_Effect_Ss_Extra (0x00D5D2F0, 0x00D5D750)
extracting baserom/ovl_Effect_Ss_Fcircle (0x00D5D750, 0x00D5DC90)
extracting baserom/ovl_Effect_Ss_Fhg_Flash (0x00D5DC90, 0x00D5ED70)
extracting baserom/ovl_Effect_Ss_Fire_Tail (0x00D5ED70, 0x00D5F500)
extracting baserom/ovl_Effect_Ss_G_Fire (0x00D5F500, 0x00D5F780)
extracting baserom/ovl_Effect_Ss_G_Magma (0x00D5F780, 0x00D5F9D0)
extracting baserom/ovl_Effect_Ss_G_Magma2 (0x00D5F9D0, 0x00D5FF90)
extracting baserom/ovl_Effect_Ss_G_Ripple (0x00D5FF90, 0x00D60560)
extracting baserom/ovl_Effect_Ss_G_Spk (0x00D60560, 0x00D60B70)
extracting baserom/ovl_Effect_Ss_G_Splash (0x00D60B70, 0x00D61020)
extracting baserom/ovl_Effect_Ss_Hahen (0x00D61020, 0x00D61780)
extracting baserom/ovl_Effect_Ss_HitMark (0x00D61780, 0x00D61D30)
extracting baserom/ovl_Effect_Ss_Ice_Piece (0x00D61D30, 0x00D62220)
extracting baserom/ovl_Effect_Ss_Ice_Smoke (0x00D62220, 0x00D627E0)
extracting baserom/ovl_Effect_Ss_K_Fire (0x00D627E0, 0x00D62CB0)
extracting baserom/ovl_Effect_Ss_Kakera (0x00D62CB0, 0x00D63E40)
extracting baserom/ovl_Effect_Ss_KiraKira (0x00D63E40, 0x00D64520)
extracting baserom/ovl_Effect_Ss_Lightning (0x00D64520, 0x00D64C60)
extracting baserom/ovl_Effect_Ss_Sibuki (0x00D64C60, 0x00D65390)
extracting baserom/ovl_Effect_Ss_Sibuki2 (0x00D65390, 0x00D65760)
extracting baserom/ovl_Effect_Ss_Solder_Srch_Ball (0x00D65760, 0x00D65900)
extracting baserom/ovl_Effect_Ss_Stick (0x00D65900, 0x00D65D30)
extracting baserom/ovl_Effect_Ss_Stone1 (0x00D65D30, 0x00D66150)
extracting baserom/ovl_Elf_Msg (0x00D66150, 0x00D66D30)
extracting baserom/ovl_Elf_Msg2 (0x00D66D30, 0x00D67550)
extracting baserom/ovl_En_Am (0x00D67550, 0x00D699A0)
extracting baserom/ovl_En_Ani (0x00D699A0, 0x00D6A750)
extracting baserom/ovl_En_Anubice (0x00D6A750, 0x00D6BBD0)
extracting baserom/ovl_En_Anubice_Fire (0x00D6BBD0, 0x00D6CA30)
extracting baserom/ovl_En_Anubice_Tag (0x00D6CA30, 0x00D6CE00)
extracting baserom/ovl_En_Arow_Trap (0x00D6CE00, 0x00D6CF50)
extracting baserom/ovl_En_Arrow (0x00D6CF50, 0x00D6E730)
extracting baserom/ovl_En_Attack_Niw (0x00D6E730, 0x00D6F980)
extracting baserom/ovl_En_Ba (0x00D6F980, 0x00D71910)
extracting baserom/ovl_En_Bb (0x00D71910, 0x00D75660)
extracting baserom/ovl_En_Bdfire (0x00D75660, 0x00D76290)
extracting baserom/ovl_En_Bigokuta (0x00D76290, 0x00D78ED0)
extracting baserom/ovl_En_Bili (0x00D78ED0, 0x00D7B1E0)
extracting baserom/ovl_En_Bird (0x00D7B1E0, 0x00D7B690)
extracting baserom/ovl_En_Blkobj (0x00D7B690, 0x00D7BD00)
extracting baserom/ovl_En_Bom (0x00D7BD00, 0x00D7CC60)
extracting baserom/ovl_En_Bom_Bowl_Man (0x00D7CC60, 0x00D7E470)
extracting baserom/ovl_En_Bom_Bowl_Pit (0x00D7E470, 0x00D7EE60)
extracting baserom/ovl_En_Bom_Chu (0x00D7EE60, 0x00D80590)
extracting baserom/ovl_En_Bombf (0x00D80590, 0x00D81AB0)
extracting baserom/ovl_En_Boom (0x00D81AB0, 0x00D823F0)
extracting baserom/ovl_En_Box (0x00D823F0, 0x00D84130)
extracting baserom/ovl_En_Brob (0x00D84130, 0x00D85220)
extracting baserom/ovl_En_Bubble (0x00D85220, 0x00D86690)
extracting baserom/ovl_En_Butte (0x00D86690, 0x00D87D00)
extracting baserom/ovl_En_Bw (0x00D87D00, 0x00D8B100)
extracting baserom/ovl_En_Bx (0x00D8B100, 0x00D8BCB0)
extracting baserom/ovl_En_Changer (0x00D8BCB0, 0x00D8CBD0)
extracting baserom/ovl_En_Clear_Tag (0x00D8CBD0, 0x00D959F0)
extracting baserom/ovl_En_Cow (0x00D959F0, 0x00D96E30)
extracting baserom/ovl_En_Crow (0x00D96E30, 0x00D984A0)
extracting baserom/ovl_En_Cs (0x00D984A0, 0x00D99720)
extracting baserom/ovl_En_Daiku (0x00D99720, 0x00D9AF10)
extracting baserom/ovl_En_Daiku_Kakariko (0x00D9AF10, 0x00D9C3C0)
extracting baserom/ovl_En_Dekubaba (0x00D9C3C0, 0x00DA0150)
extracting baserom/ovl_En_Dekunuts (0x00DA0150, 0x00DA1930)
extracting baserom/ovl_En_Dh (0x00DA1930, 0x00DA3470)
extracting baserom/ovl_En_Dha (0x00DA3470, 0x00DA4460)
extracting baserom/ovl_En_Diving_Game (0x00DA4460, 0x00DA5F40)
extracting baserom/ovl_En_Dns (0x00DA5F40, 0x00DA74D0)
extracting baserom/ovl_En_Dnt_Demo (0x00DA74D0, 0x00DA86D0)
extracting baserom/ovl_En_Dnt_Jiji (0x00DA86D0, 0x00DA9EB0)
extracting baserom/ovl_En_Dnt_Nomal (0x00DA9EB0, 0x00DACFB0)
extracting baserom/ovl_En_Dodojr (0x00DACFB0, 0x00DAEE40)
extracting baserom/ovl_En_Dodongo (0x00DAEE40, 0x00DB1BC0)
extracting baserom/ovl_En_Dog (0x00DB1BC0, 0x00DB2DC0)
extracting baserom/ovl_En_Door (0x00DB2DC0, 0x00DB3C20)
extracting baserom/ovl_En_Ds (0x00DB3C20, 0x00DB4820)
extracting baserom/ovl_En_Du (0x00DB4820, 0x00DB62E0)
extracting baserom/ovl_En_Dy_Extra (0x00DB62E0, 0x00DB6980)
extracting baserom/ovl_En_Eg (0x00DB6980, 0x00DB6B90)
extracting baserom/ovl_En_Eiyer (0x00DB6B90, 0x00DB8820)
extracting baserom/ovl_En_Elf (0x00DB8820, 0x00DBD310)
extracting baserom/ovl_En_Encount1 (0x00DBD310, 0x00DBE580)
extracting baserom/ovl_En_Encount2 (0x00DBE580, 0x00DBFA90)
extracting baserom/ovl_En_Ex_Item (0x00DBFA90, 0x00DC1000)
extracting baserom/ovl_En_Ex_Ruppy (0x00DC1000, 0x00DC22B0)
extracting baserom/ovl_En_Fd (0x00DC22B0, 0x00DC50A0)
extracting baserom/ovl_En_Fd_Fire (0x00DC50A0, 0x00DC5E50)
extracting baserom/ovl_En_Fhg_Fire (0x00DC5E50, 0x00DC8810)
extracting baserom/ovl_En_Fire_Rock (0x00DC8810, 0x00DC9C60)
extracting baserom/ovl_En_Firefly (0x00DC9C60, 0x00DCBE70)
extracting baserom/ovl_En_Fish (0x00DCBE70, 0x00DCE100)
extracting baserom/ovl_En_Floormas (0x00DCE100, 0x00DD1590)
extracting baserom/ovl_En_Fr (0x00DD1590, 0x00DD4400)
extracting baserom/ovl_En_Fu (0x00DD4400, 0x00DD5180)
extracting baserom/ovl_En_Fw (0x00DD5180, 0x00DD69A0)
extracting baserom/ovl_En_Fz (0x00DD69A0, 0x00DD8AA0)
extracting baserom/ovl_En_G_Switch (0x00DD8AA0, 0x00DDA940)
extracting baserom/ovl_En_Ganon_Mant (0x00DDA940, 0x00DDEBE0)
extracting baserom/ovl_En_Ganon_Organ (0x00DDEBE0, 0x00DE5D60)
extracting baserom/ovl_En_Gb (0x00DE5D60, 0x00DE7550)
extracting baserom/ovl_En_Ge1 (0x00DE7550, 0x00DE97B0)
extracting baserom/ovl_En_Ge2 (0x00DE97B0, 0x00DEB200)
extracting baserom/ovl_En_Ge3 (0x00DEB200, 0x00DEBEF0)
extracting baserom/ovl_En_GeldB (0x00DEBEF0, 0x00DF1330)
extracting baserom/ovl_En_GirlA (0x00DF1330, 0x00DF42C0)
extracting baserom/ovl_En_Gm (0x00DF42C0, 0x00DF5150)
extracting baserom/ovl_En_Go (0x00DF5150, 0x00DF9910)
extracting baserom/ovl_En_Go2 (0x00DF9910, 0x00DFFAA0)
extracting baserom/ovl_En_Goma (0x00DFFAA0, 0x00E02880)
extracting baserom/ovl_En_Goroiwa (0x00E02880, 0x00E04F00)
extracting baserom/ovl_En_Gs (0x00E04F00, 0x00E06E00)
extracting baserom/ovl_En_Guest (0x00E06E00, 0x00E07930)
extracting baserom/ovl_En_Hata (0x00E07930, 0x00E07EB0)
extracting baserom/ovl_En_Heishi1 (0x00E07EB0, 0x00E09A80)
