extracting baserom/ovl_En_Dns (0x00DF7AE0, 0x00DF8E70)
extracting baserom/ovl_Elf_Msg (0x00DF8E70, 0x00DF9460)
extracting baserom/ovl_En_Honotrap (0x00DF9460, 0x00DFA9B0)
extracting baserom/ovl_En_Tubo_Trap (0x00DFA9B0, 0x00DFB650)
extracting baserom/ovl_Obj_Ice_Poly (0x00DFB650, 0x00DFC000)
extracting baserom/ovl_Bg_Spot03_Taki (0x00DFC000, 0x00DFC8F0)
extracting baserom/ovl_Bg_Spot07_Taki (0x00DFC8F0, 0x00DFCEC0)
extracting baserom/ovl_En_Fz (0x00DFCEC0, 0x00DFEED0)
extracting baserom/ovl_En_Po_Relay (0x00DFEED0, 0x00E005E0)
extracting baserom/ovl_Bg_Relay_Objects (0x00E005E0, 0x00E00D90)
extracting baserom/ovl_En_Diving_Game (0x00E00D90, 0x00E02740)
extracting baserom/ovl_En_Kusa (0x00E02740, 0x00E03C20)
extracting baserom/ovl_Obj_Bean (0x00E03C20, 0x00E063B0)
extracting baserom/ovl_Obj_Bombiwa (0x00E063B0, 0x00E06920)
extracting baserom/ovl_Obj_Switch (0x00E06920, 0x00E086E0)
extracting baserom/ovl_Obj_Elevator (0x00E086E0, 0x00E08AA0)
extracting baserom/ovl_Obj_Lift (0x00E08AA0, 0x00E094C0)
extracting baserom/ovl_Obj_Hsblock (0x00E094C0, 0x00E09A90)
extracting baserom/ovl_En_Okarina_Tag (0x00E09A90, 0x00E0AF90)
extracting baserom/ovl_En_Yabusame_Mark (0x00E0AF90, 0x00E0B660)
extracting baserom/ovl_En_Goroiwa (0x00E0B660, 0x00E0DA20)
extracting baserom/ovl_En_Ex_Ruppy (0x00E0DA20, 0x00E0EAE0)
extracting baserom/ovl_En_Toryo (0x00E0EAE0, 0x00E0F770)
extracting baserom/ovl_En_Daiku (0x00E0F770, 0x00E10EB0)
extracting baserom/ovl_En_Nwc (0x00E10EB0, 0x00E118F0)
extracting baserom/ovl_En_Blkobj (0x00E118F0, 0x00E11E50)
extracting baserom/ovl_Item_Inbox (0x00E11E50, 0x00E11FB0)
extracting baserom/ovl_En_Ge1 (0x00E11FB0, 0x00E13FE0)
extracting baserom/ovl_Obj_Blockstop (0x00E13FE0, 0x00E14180)
extracting baserom/ovl_En_Sda (0x00E14180, 0x00E157C0)
extracting baserom/ovl_En_Clear_Tag (0x00E157C0, 0x00E1E330)
extracting baserom/ovl_En_Niw_Lady (0x00E1E330, 0x00E1FC30)
extracting baserom/ovl_En_Gm (0x00E1FC30, 0x00E20960)
extracting baserom/ovl_En_Ms (0x00E20960, 0x00E21050)
extracting baserom/ovl_En_Hs (0x00E21050, 0x00E21BF0)
extracting baserom/ovl_Bg_Ingate (0x00E21BF0, 0x00E21F80)
extracting baserom/ovl_En_Kanban (0x00E21F80, 0x00E250D0)
extracting baserom/ovl_En_Heishi3 (0x00E250D0, 0x00E25AC0)
extracting baserom/ovl_En_Syateki_Niw (0x00E25AC0, 0x00E27B50)
extracting baserom/ovl_En_Attack_Niw (0x00E27B50, 0x00E28DB0)
extracting baserom/ovl_Bg_Spot01_Idosoko (0x00E28DB0, 0x00E28FC0)
extracting baserom/ovl_En_Sa (0x00E28FC0, 0x00E2B230)
extracting baserom/ovl_En_Wonder_Talk (0x00E2B230, 0x00E2B8C0)
extracting baserom/ovl_Bg_Gjyo_Bridge (0x00E2B8C0, 0x00E2BDC0)
extracting baserom/ovl_En_Ds (0x00E2BDC0, 0x00E2C9E0)
extracting baserom/ovl_En_Mk (0x00E2C9E0, 0x00E2D870)
extracting baserom/ovl_En_Bom_Bowl_Man (0x00E2D870, 0x00E2EDB0)
extracting baserom/ovl_En_Bom_Bowl_Pit (0x00E2EDB0, 0x00E2F720)
extracting baserom/ovl_En_Owl (0x00E2F720, 0x00E332C0)
extracting baserom/ovl_En_Ishi (0x00E332C0, 0x00E3C410)
extracting baserom/ovl_Obj_Hana (0x00E3C410, 0x00E3C720)
extracting baserom/ovl_Obj_Lightswitch (0x00E3C720, 0x00E3DB50)
extracting baserom/ovl_Obj_Mure2 (0x00E3DB50, 0x00E3E570)
extracting baserom/ovl_En_Go (0x00E3E570, 0x00E42BB0)
extracting baserom/ovl_En_Fu (0x00E42BB0, 0x00E438F0)
extracting baserom/ovl_En_Changer (0x00E438F0, 0x00E442D0)
extracting baserom/ovl_Bg_Jya_Megami (0x00E442D0, 0x00E454B0)
extracting baserom/ovl_Bg_Jya_Lift (0x00E454B0, 0x00E45A00)
extracting baserom/ovl_Bg_Jya_Bigmirror (0x00E45A00, 0x00E46240)
extracting baserom/ovl_Bg_Jya_Bombchuiwa (0x00E46240, 0x00E46D70)
extracting baserom/ovl_Bg_Jya_Amishutter (0x00E46D70, 0x00E47100)
extracting baserom/ovl_Bg_Jya_Bombiwa (0x00E47100, 0x00E476C0)
extracting baserom/ovl_Bg_Spot18_Basket (0x00E476C0, 0x00E486B0)
extracting baserom/ovl_En_Ganon_Organ (0x00E486B0, 0x00E4F6B0)
extracting baserom/ovl_En_Siofuki (0x00E4F6B0, 0x00E50460)
extracting baserom/ovl_En_Stream (0x00E50460, 0x00E509F0)
extracting baserom/ovl_En_Mm (0x00E509F0, 0x00E52010)
extracting baserom/ovl_En_Ko (0x00E52010, 0x00E56150)
extracting baserom/ovl_En_Kz (0x00E56150, 0x00E576F0)
extracting baserom/ovl_En_Weather_Tag (0x00E576F0, 0x00E585E0)
extracting baserom/ovl_Bg_Sst_Floor (0x00E585E0, 0x00E58B40)
extracting baserom/ovl_En_Ani (0x00E58B40, 0x00E598B0)
extracting baserom/ovl_En_Ex_Item (0x00E598B0, 0x00E5AA20)
extracting baserom/ovl_Bg_Jya_Ironobj (0x00E5AA20, 0x00E5B7D0)
extracting baserom/ovl_En_Js (0x00E5B7D0, 0x00E5C1A0)
extracting baserom/ovl_En_Jsjutan (0x00E5C1A0, 0x00E60F60)
extracting baserom/ovl_En_Cs (0x00E60F60, 0x00E62190)
extracting baserom/ovl_En_Md (0x00E62190, 0x00E64800)
extracting baserom/ovl_En_Hy (0x00E64800, 0x00E68140)
extracting baserom/ovl_En_Ganon_Mant (0x00E68140, 0x00E6C360)
extracting baserom/ovl_En_Okarina_Effect (0x00E6C360, 0x00E6C720)
