Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
187,ovl_Demo_Kekkai,False,4848,5264,0.921,-416,4225
188,ovl_Demo_Sa,False,11040,11728,0.941,-688,9129
189,ovl_Demo_Shd,False,9232,9360,0.986,-128,6064
190,ovl_Demo_Tre_Lgt,False,1808,2096,0.863,-288,986
191,ovl_Door_Ana,False,1648,1776,0.928,-128,1429
192,ovl_Door_Gerudo,False,1520,1648,0.922,-128,1281
193,ovl_Door_Killer,False,5488,5712,0.961,-224,4844
194,ovl_Door_Shutter,False,8896,9088,0.979,-192,7767
195,ovl_Door_Toki,False,352,352,1.0,0,213
196,ovl_Door_Warp1,False,17152,17696,0.969,-544,14608
197,ovl_Efc_Erupc,False,2800,3104,0.902,-304,2406
198,ovl_Eff_Dust,False,5072,5344,0.949,-272,4237
199,ovl_Effect_Ss_Blast,False,912,1024,0.891,-112,493
200,ovl_Effect_Ss_Bomb,False,1072,1184,0.905,-112,820
201,ovl_Effect_Ss_Bomb2,False,2304,2544,0.906,-240,1903
202,ovl_Effect_Ss_Bubble,False,1152,1296,0.889,-144,1007
203,ovl_Effect_Ss_D_Fire,False,1264,1360,0.929,-96,1057
204,ovl_Effect_Ss_Dead_Db,False,1248,1344,0.929,-96,865
205,ovl_Effect_Ss_Dead_Dd,False,1424,1584,0.899,-160,760
206,ovl_Effect_Ss_Dead_Ds,False,1152,1312,0.878,-160,798
207,ovl_Effect_Ss_Dead_Sound,False,320,384,0.833,-64,253
208,ovl_Effect_Ss_Dt_Bubble,False,1424,1568,0.908,-144,751
209,ovl_Effect_Ss_Dust,False,2112,2192,0.964,-80,1540
210,ovl_Effect_Ss_En_Fire,False,1872,2000,0.936,-128,1333
211,ovl_Effect_Ss_En_Ice,False,2240,2448,0.915,-208,1647
212,ovl_Effect_Ss_Extra,False,960,1120,0.857,-160,784
213,ovl_Effect_Ss_Fcircle,False,1200,1344,0.893,-144,865
214,ovl_Effect_Ss_Fhg_Flash,False,3968,4320,0.919,-352,2709
215,ovl_Effect_Ss_Fire_Tail,False,1792,1936,0.926,-144,1408
216,ovl_Effect_Ss_G_Fire,False,656,640,1.025,16,400
217,ovl_Effect_Ss_G_Magma,False,608,592,1.027,16,347
218,ovl_Effect_Ss_G_Magma2,False,1296,1472,0.88,-176,1100
219,ovl_Effect_Ss_G_Ripple,False,1376,1488,0.925,-112,1168
220,ovl_Effect_Ss_G_Spk,False,1456,1552,0.938,-96,978
221,ovl_Effect_Ss_G_Splash,False,1200,1200,1.0,0,536
222,ovl_Effect_Ss_Hahen,False,1600,1888,0.847,-288,1420
223,ovl_Effect_Ss_HitMark,False,1360,1456,0.934,-96,945
224,ovl_Effect_Ss_Ice_Piece,False,1088,1264,0.861,-176,690
225,ovl_Effect_Ss_Ice_Smoke,False,1248,1472,0.848,-224,1053
226,ovl_Effect_Ss_K_Fire,False,1088,1232,0.883,-144,754
227,ovl_Effect_Ss_Kakera,False,4240,4496,0.943,-256,3720
228,ovl_Effect_Ss_KiraKira,False,1648,1760,0.936,-112,1089
229,ovl_Effect_Ss_Lightning,False,1744,1856,0.94,-112,1329
230,ovl_Effect_Ss_Sibuki,False,1744,1840,0.948,-96,1206
231,ovl_Effect_Ss_Sibuki2,False,816,976,0.836,-160,637
232,ovl_Effect_Ss_Solder_Srch_Ball,False,432,416,1.038,16,220
233,ovl_Effect_Ss_Stick,False,928,1072,0.866,-144,582
234,ovl_Effect_Ss_Stone1,False,896,1056,0.848,-160,706
235,ovl_Elf_Msg,False,1520,3040,0.5,-1520,1322
236,ovl_Elf_Msg2,False,1136,2080,0.546,-944,977
237,ovl_En_Am,False,9216,9296,0.991,-80,7426
238,ovl_En_Ani,False,3440,3504,0.982,-64,2920
239,ovl_En_Anubice,False,4784,5248,0.912,-464,4242
240,ovl_En_Anubice_Fire,False,3520,3680,0.957,-160,1934
241,ovl_En_Anubice_Tag,False,720,976,0.738,-256,622
242,ovl_En_Arow_Trap,False,336,336,1.0,0,62
243,ovl_En_Arrow,False,5888,6112,0.963,-224,5022
244,ovl_En_Attack_Niw,False,4704,4688,1.003,16,3893
245,ovl_En_Ba,False,7888,8080,0.976,-192,6820
246,ovl_En_Bb,False,15584,15696,0.993,-112,13496
247,ovl_En_Bdfire,False,2976,3120,0.954,-144,2585
248,ovl_En_Bigokuta,False,11008,11328,0.972,-320,9673
249,ovl_En_Bili,False,8912,8976,0.993,-64,7444
250,ovl_En_Bird,False,1216,1200,1.013,16,1009
251,ovl_En_Blkobj,False,1376,1648,0.835,-272,1199
252,ovl_En_Bom,False,3792,3936,0.963,-144,3218
253,ovl_En_Bom_Bowl_Man,False,5440,6160,0.883,-720,4855
254,ovl_En_Bom_Bowl_Pit,False,2416,2544,0.95,-128,2075
255,ovl_En_Bom_Chu,False,5792,5936,0.976,-144,4775
256,ovl_En_Bombf,False,5264,5408,0.973,-144,4546
257,ovl_En_Boom,False,2256,2368,0.953,-112,1899
258,ovl_En_Box,False,6992,7488,0.934,-496,5528
259,ovl_En_Brob,False,4336,4336,1.0,0,2903
260,ovl_En_Bubble,False,5152,5232,0.985,-80,4243
261,ovl_En_Butte,False,5584,5744,0.972,-160,4799
262,ovl_En_Bw,False,13200,13312,0.992,-112,11247
263,ovl_En_Bx,False,2816,2992,0.941,-176,2442
264,ovl_En_Changer,False,2528,3872,0.653,-1344,2273
265,ovl_En_Clear_Tag,False,35696,36384,0.981,-688,27694
266,ovl_En_Cow,False,5216,5184,1.006,32,4180
267,ovl_En_Crow,False,5792,5744,1.008,48,4956
268,ovl_En_Cs,False,4656,4736,0.983,-80,3880
269,ovl_En_Daiku,False,5952,6128,0.971,-176,5008
270,ovl_En_Daiku_Kakariko,False,5056,5296,0.955,-240,4418
271,ovl_En_Dekubaba,False,15024,15760,0.953,-736,13274
272,ovl_En_Dekunuts,False,6144,6112,1.005,32,5150
273,ovl_En_Dh,False,6880,6976,0.986,-96,5830
274,ovl_En_Dha,False,4096,4080,1.004,16,3406
275,ovl_En_Diving_Game,False,6576,6880,0.956,-304,5719
276,ovl_En_Dns,False,5008,5520,0.907,-512,4195
277,ovl_En_Dnt_Demo,False,3360,4608,0.729,-1248,3022
278,ovl_En_Dnt_Jiji,False,5408,6112,0.885,-704,4830
279,ovl_En_Dnt_Nomal,False,11776,12544,0.939,-768,10718
280,ovl_En_Dodojr,False,7840,7824,1.002,16,5401
281,ovl_En_Dodongo,False,11680,11648,1.003,32,9588
282,ovl_En_Dog,False,4528,4608,0.983,-80,3283
