Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
178,ovl_Demo_Effect,False,6064,25664,0.236,-19600,5542
179,ovl_Demo_Ext,False,1808,2736,0.661,-928,1633
180,ovl_Demo_Geff,False,4512,2800,1.611,1712,2596
181,ovl_Demo_Gj,False,1024,16192,0.063,-15168,927
182,ovl_Demo_Go,False,1728,3584,0.482,-1856,1562
183,ovl_Demo_Gt,False,2624,23696,0.111,-21072,2349
184,ovl_Demo_Ik,False,3104,6368,0.487,-3264,2804
185,ovl_Demo_Im,False,8704,17056,0.51,-8352,7865
186,ovl_Demo_Kankyo,False,4656,16640,0.28,-11984,4273
187,ovl_Demo_Kekkai,False,4368,5264,0.83,-896,3995
188,ovl_Demo_Sa,False,4336,11728,0.37,-7392,3912
189,ovl_Demo_Shd,False,6336,9360,0.677,-3024,5829
190,ovl_Demo_Tre_Lgt,False,1296,2096,0.618,-800,1174
191,ovl_Door_Ana,False,2256,1776,1.27,480,1571
192,ovl_Door_Gerudo,False,59376,1648,36.029,57728,1497
193,ovl_Door_Killer,False,2592,5712,0.454,-3120,2330
194,ovl_Door_Shutter,False,5584,9088,0.614,-3504,5044
195,ovl_Door_Toki,False,2720,352,7.727,2368,304
196,ovl_Door_Warp1,False,4592,17696,0.259,-13104,4200
197,ovl_Efc_Erupc,False,592,3104,0.191,-2512,532
198,ovl_Eff_Dust,False,3488,5344,0.653,-1856,3228
199,ovl_Effect_Ss_Blast,False,3520,1024,3.438,2496,932
200,ovl_Effect_Ss_Bomb,False,672,1184,0.568,-512,601
201,ovl_Effect_Ss_Bomb2,False,17872,2544,7.025,15328,2320
202,ovl_Effect_Ss_Bubble,False,46496,1296,35.877,45200,1170
203,ovl_Effect_Ss_D_Fire,False,5184,1360,3.812,3824,1212
204,ovl_Effect_Ss_Dead_Db,False,11024,1344,8.202,9680,1232
205,ovl_Effect_Ss_Dead_Dd,False,6384,1584,4.03,4800,1426
206,ovl_Effect_Ss_Dead_Ds,False,4816,1312,3.671,3504,1182
207,ovl_Effect_Ss_Dead_Sound,False,11040,384,28.75,10656,304
208,ovl_Effect_Ss_Dt_Bubble,False,3424,1568,2.184,1856,1398
209,ovl_Effect_Ss_Dust,False,11680,2192,5.328,9488,1993
210,ovl_Effect_Ss_En_Fire,False,6400,2000,3.2,4400,1795
211,ovl_Effect_Ss_En_Ice,False,5440,2448,2.222,2992,2207
212,ovl_Effect_Ss_Extra,False,3792,1120,3.386,2672,1005
213,ovl_Effect_Ss_Fcircle,False,2240,1344,1.667,896,1215
214,ovl_Effect_Ss_Fhg_Flash,False,11648,4320,2.696,7328,3785
215,ovl_Effect_Ss_Fire_Tail,False,1600,1936,0.826,-336,1412
216,ovl_Effect_Ss_G_Fire,False,464,640,0.725,-176,401
217,ovl_Effect_Ss_G_Magma,False,5136,592,8.676,4544,528
218,ovl_Effect_Ss_G_Magma2,False,3904,1472,2.652,2432,1324
219,ovl_Effect_Ss_G_Ripple,False,2016,1488,1.355,528,1317
220,ovl_Effect_Ss_G_Spk,False,4192,1552,2.701,2640,1373
221,ovl_Effect_Ss_G_Splash,False,5792,1200,4.827,4592,1068
222,ovl_Effect_Ss_Hahen,False,4304,1888,2.28,2416,1718
223,ovl_Effect_Ss_HitMark,False,77952,1456,53.538,76496,1274
224,ovl_Effect_Ss_Ice_Piece,False,9520,1264,7.532,8256,1185
225,ovl_Effect_Ss_Ice_Smoke,False,7888,1472,5.359,6416,1370
226,ovl_Effect_Ss_K_Fire,False,2800,1232,2.273,1568,1096
227,ovl_Effect_Ss_Kakera,False,4784,4496,1.064,288,4095
228,ovl_Effect_Ss_KiraKira,False,3520,1760,2.0,1760,1585
229,ovl_Effect_Ss_Lightning,False,2240,1856,1.207,384,1680
230,ovl_Effect_Ss_Sibuki,False,1408,1840,0.765,-432,1277
231,ovl_Effect_Ss_Sibuki2,False,1600,976,1.639,624,882
232,ovl_Effect_Ss_Solder_Srch_Ball,False,1456,416,3.5,1040,370
233,ovl_Effect_Ss_Stick,False,5168,1072,4.821,4096,957
234,ovl_Effect_Ss_Stone1,False,4832,1056,4.576,3776,934
235,ovl_Elf_Msg,False,139872,3040,46.011,136832,2698
236,ovl_Elf_Msg2,False,50464,2080,24.262,48384,1917
237,ovl_En_Am,False,6448,9296,0.694,-2848,5825
238,ovl_En_Ani,False,10896,3504,3.11,7392,3198
239,ovl_En_Anubice,False,2576,5248,0.491,-2672,2364
240,ovl_En_Anubice_Fire,False,4656,3680,1.265,976,3339
241,ovl_En_Anubice_Tag,False,4592,976,4.705,3616,871
242,ovl_En_Arow_Trap,False,2000,336,5.952,1664,298
243,ovl_En_Arrow,False,6224,6112,1.018,112,5605
244,ovl_En_Attack_Niw,False,11536,4688,2.461,6848,4319
245,ovl_En_Ba,False,720,8080,0.089,-7360,643
246,ovl_En_Bb,False,4224,15696,0.269,-11472,3852
247,ovl_En_Bdfire,False,832,3120,0.267,-2288,773
248,ovl_En_Bigokuta,False,1920,11328,0.169,-9408,1754
249,ovl_En_Bili,False,1712,8976,0.191,-7264,1570
250,ovl_En_Bird,False,7456,1200,6.213,6256,1095
251,ovl_En_Blkobj,False,944,1648,0.573,-704,833
252,ovl_En_Bom,False,80304,3936,20.402,76368,3551
253,ovl_En_Bom_Bowl_Man,False,6832,6160,1.109,672,5645
254,ovl_En_Bom_Bowl_Pit,False,1152,2544,0.453,-1392,1063
255,ovl_En_Bom_Chu,False,5088,5936,0.857,-848,4672
256,ovl_En_Bombf,False,672,5408,0.124,-4736,610
257,ovl_En_Boom,False,3072,2368,1.297,704,2138
258,ovl_En_Box,False,784,7488,0.105,-6704,701
259,ovl_En_Brob,False,2384,4336,0.55,-1952,2146
260,ovl_En_Bubble,False,9792,5232,1.872,4560,4878
261,ovl_En_Butte,False,3552,5744,0.618,-2192,3235
262,ovl_En_Bw,False,400,13312,0.03,-12912,357
263,ovl_En_Bx,False,9504,2992,3.176,6512,2719
264,ovl_En_Changer,False,5584,3872,1.442,1712,3560
265,ovl_En_Clear_Tag,False,8464,36384,0.233,-27920,7733
266,ovl_En_Cow,False,4160,5184,0.802,-1024,3711
267,ovl_En_Crow,False,2256,5744,0.393,-3488,2020
268,ovl_En_Cs,False,7872,4736,1.662,3136,4463
269,ovl_En_Daiku,False,7904,6128,1.29,1776,5688
270,ovl_En_Daiku_Kakariko,False,7920,5296,1.495,2624,4852
271,ovl_En_Dekubaba,False,3328,15760,0.211,-12432,3041
272,ovl_En_Dekunuts,False,4080,6112,0.668,-2032,3706
273,ovl_En_Dh,False,3152,6976,0.452,-3824,2864
274,ovl_En_Dha,False,17952,4080,4.4,13872,3695
275,ovl_En_Diving_Game,False,5392,6880,0.784,-1488,4897
276,ovl_En_Dns,False,14640,5520,2.652,9120,5021
277,ovl_En_Dnt_Demo,False,784,4608,0.17,-3824,709
278,ovl_En_Dnt_Jiji,False,6192,6112,1.013,80,5532
279,ovl_En_Dnt_Nomal,False,2368,12544,0.189,-10176,2139
280,ovl_En_Dodojr,False,9232,7824,1.18,1408,7083
281,ovl_En_Dodongo,False,5008,11648,0.43,-6640,4584
282,ovl_En_Dog,False,1520,4608,0.33,-3088,1350
283,ovl_En_Door,False,5456,3680,1.483,1776,3294
284,ovl_En_Ds,False,3232,3072,1.052,160,2744
285,ovl_En_Du,False,2480,6848,0.362,-4368,2229
286,ovl_En_Dy_Extra,False,2288,1696,1.349,592,1541
287,ovl_En_Eg,False,1488,528,2.818,960,473
288,ovl_En_Eiyer,False,8208,7312,1.123,896,6640
289,ovl_En_Elf,False,5904,19184,0.308,-13280,5430
290,ovl_En_Encount1,False,1968,4720,0.417,-2752,1798
291,ovl_En_Encount2,False,6576,5392,1.22,1184,4990
292,ovl_En_Ex_Item,False,5344,5488,0.974,-144,4803
293,ovl_En_Ex_Ruppy,False,10128,4784,2.117,5344,4421
294,ovl_En_Fd,False,1392,11760,0.118,-10368,1239
295,ovl_En_Fd_Fire,False,7616,3504,2.174,4112,3112
296,ovl_En_Fhg_Fire,False,960,10688,0.09,-9728,859
297,ovl_En_Fire_Rock,False,2592,5200,0.498,-2608,2368
298,ovl_En_Firefly,False,1488,8720,0.171,-7232,1331
299,ovl_En_Fish,False,5376,8848,0.608,-3472,4806
300,ovl_En_Floormas,False,1744,13456,0.13,-11712,1574
301,ovl_En_Fr,False,9152,11888,0.77,-2736,8411
302,ovl_En_Fu,False,4288,3456,1.241,832,3136
303,ovl_En_Fw,False,3216,6176,0.521,-2960,2910
304,ovl_En_Fz,False,5952,8448,0.705,-2496,5393
305,ovl_En_G_Switch,False,2624,7840,0.335,-5216,2393
306,ovl_En_Ganon_Mant,False,1376,17056,0.081,-15680,1255
307,ovl_En_Ganon_Organ,False,352,29056,0.012,-28704,312
308,ovl_En_Gb,False,8240,6128,1.345,2112,5649
309,ovl_En_Ge1,False,416,8800,0.047,-8384,357
310,ovl_En_Ge2,False,5696,6736,0.846,-1040,5204
311,ovl_En_Ge3,False,35696,3312,10.778,32384,3017
312,ovl_En_GeldB,False,6400,21568,0.297,-15168,5837
313,ovl_En_GirlA,False,3376,12176,0.277,-8800,3008
314,ovl_En_Gm,False,1776,3728,0.476,-1952,1630
315,ovl_En_Go,False,2976,18368,0.162,-15392,2648
316,ovl_En_Go2,False,912,24976,0.037,-24064,820
317,ovl_En_Goma,False,12624,11744,1.075,880,10462
318,ovl_En_Goroiwa,False,2544,9856,0.258,-7312,2321
319,ovl_En_Gs,False,8336,7936,1.05,400,7282
320,ovl_En_Guest,False,4704,2864,1.642,1840,2647
321,ovl_En_Hata,False,528,1408,0.375,-880,469
322,ovl_En_Heishi1,False,8816,7120,1.238,1696,6569
323,ovl_En_Heishi2,False,1680,10144,0.166,-8464,1537
324,ovl_En_Heishi3,False,1280,2704,0.473,-1424,1142
325,ovl_En_Heishi4,False,3104,4400,0.705,-1296,2814
326,ovl_En_Hintnuts,False,3728,6672,0.559,-2944,3389
327,ovl_En_Holl,False,5440,4128,1.318,1312,3760
328,ovl_En_Honotrap,False,2416,5824,0.415,-3408,2209
329,ovl_En_Horse,False,15264,49760,0.307,-34496,13951
330,ovl_En_Horse_Game_Check,False,37200,4368,8.516,32832,3931
331,ovl_En_Horse_Ganon,False,784,3440,0.228,-2656,703
332,ovl_En_Horse_Link_Child,False,5168,7808,0.662,-2640,4698
333,ovl_En_Horse_Normal,False,2592,9856,0.263,-7264,2327
334,ovl_En_Horse_Zelda,False,17984,2768,6.497,15216,2532
335,ovl_En_Hs,False,3392,3072,1.104,320,2803
336,ovl_En_Hs2,False,2528,1552,1.629,976,1403
337,ovl_En_Hy,False,4576,14912,0.307,-10336,4211
338,ovl_En_Ice_Hono,False,1360,4896,0.278,-3536,1224
339,ovl_En_Ik,False,2112,19600,0.108,-17488,1880
340,ovl_En_In,False,2864,11888,0.241,-9024,2571
341,ovl_En_Insect,False,912,9792,0.093,-8880,823
342,ovl_En_Ishi,False,1472,37408,0.039,-35936,1276
343,ovl_En_It,False,4080,384,10.625,3696,323
344,ovl_En_Jj,False,28672,5648,5.076,23024,5476
345,ovl_En_Js,False,3504,2448,1.431,1056,2254
346,ovl_En_Jsjutan,False,1424,20080,0.071,-18656,1285
347,ovl_En_Kakasi,False,5664,3744,1.513,1920,3437
348,ovl_En_Kakasi2,False,16704,3344,4.995,13360,3061
349,ovl_En_Kakasi3,False,5536,4736,1.169,800,4339
350,ovl_En_Kanban,False,3824,13232,0.289,-9408,3455
351,ovl_En_Karebaba,False,1376,6752,0.204,-5376,1260
352,ovl_En_Ko,False,3440,16880,0.204,-13440,3139
353,ovl_En_Kusa,False,4464,5552,0.804,-1088,4076
354,ovl_En_Kz,False,3504,5616,0.624,-2112,3195
355,ovl_En_Light,False,2512,3728,0.674,-1216,2306
356,ovl_En_Lightbox,False,19904,1136,17.521,18768,1023
357,ovl_En_M_Fire1,False,4656,416,11.192,4240,358
358,ovl_En_M_Thunder,False,9840,5808,1.694,4032,5318
359,ovl_En_Ma1,False,14656,4880,3.003,9776,4469
360,ovl_En_Ma2,False,16928,4352,3.89,12576,3967
361,ovl_En_Ma3,False,960,4192,0.229,-3232,872
362,ovl_En_Mag,False,11104,9552,1.162,1552,8678
363,ovl_En_Mb,False,1520,16896,0.09,-15376,1370
364,ovl_En_Md,False,1136,9904,0.115,-8768,1017
365,ovl_En_Mk,False,22016,3696,5.957,18320,3395
366,ovl_En_Mm,False,14816,5856,2.53,8960,5368
367,ovl_En_Mm2,False,2784,3792,0.734,-1008,2532
368,ovl_En_Ms,False,1136,1792,0.634,-656,1023
369,ovl_En_Mu,False,3840,2416,1.589,1424,2168
370,ovl_En_Nb,False,32336,18928,1.708,13408,16783
371,ovl_En_Niw,False,70400,14336,4.911,56064,13355
372,ovl_En_Niw_Girl,False,3392,3264,1.039,128,3022
373,ovl_En_Niw_Lady,False,2240,7696,0.291,-5456,2083
374,ovl_En_Nutsball,False,1168,1680,0.695,-512,1033
375,ovl_En_Nwc,False,3888,2768,1.405,1120,2576
376,ovl_En_Ny,False,16688,6896,2.42,9792,6238
