extracting baserom/ovl_Bg_Bdan_Objects (0x00D4BBD0, 0x00D4CEA0)
extracting baserom/ovl_Demo_Sa (0x00D4CEA0, 0x00D4F9C0)
extracting baserom/ovl_Demo_Go (0x00D4F9C0, 0x00D50720)
extracting baserom/ovl_En_In (0x00D50720, 0x00D53480)
extracting baserom/ovl_En_Tr (0x00D53480, 0x00D54D80)
extracting baserom/ovl_Bg_Spot16_Bombstone (0x00D54D80, 0x00D562C0)
extracting baserom/ovl_Bg_Hidan_Kowarerukabe (0x00D562C0, 0x00D57190)
extracting baserom/ovl_Bg_Bombwall (0x00D57190, 0x00D57A50)
extracting baserom/ovl_En_Ru2 (0x00D57A50, 0x00D5A7D0)
extracting baserom/ovl_Obj_Dekujr (0x00D5A7D0, 0x00D5AE10)
extracting baserom/ovl_Bg_Mizu_Uzu (0x00D5AE10, 0x00D5AFE0)
extracting baserom/ovl_Bg_Spot06_Objects (0x00D5AFE0, 0x00D5C3F0)
extracting baserom/ovl_Bg_Ice_Objects (0x00D5C3F0, 0x00D5D330)
extracting baserom/ovl_Bg_Haka_Water (0x00D5D330, 0x00D5DB10)
extracting baserom/ovl_En_Ma2 (0x00D5DB10, 0x00D5EB70)
extracting baserom/ovl_En_Bom_Chu (0x00D5EB70, 0x00D60210)
extracting baserom/ovl_En_Horse_Game_Check (0x00D60210, 0x00D612E0)
extracting baserom/ovl_Boss_Tw (0x00D612E0, 0x00D74360)
extracting baserom/ovl_En_Rr (0x00D74360, 0x00D76880)
extracting baserom/ovl_En_Ba (0x00D76880, 0x00D78750)
extracting baserom/ovl_En_Bx (0x00D78750, 0x00D79240)
extracting baserom/ovl_En_Anubice (0x00D79240, 0x00D7A4F0)
extracting baserom/ovl_En_Anubice_Fire (0x00D7A4F0, 0x00D7B2B0)
extracting baserom/ovl_Bg_Mori_Hashigo (0x00D7B2B0, 0x00D7BB70)
extracting baserom/ovl_Bg_Mori_Hashira4 (0x00D7BB70, 0x00D7C0F0)
extracting baserom/ovl_Bg_Mori_Idomizu (0x00D7C0F0, 0x00D7C730)
extracting baserom/ovl_Bg_Spot16_Doughnut (0x00D7C730, 0x00D7CCE0)
extracting baserom/ovl_Bg_Bdan_Switch (0x00D7CCE0, 0x00D7E110)
extracting baserom/ovl_En_Ma1 (0x00D7E110, 0x00D7F3F0)
extracting baserom/ovl_Boss_Ganon (0x00D7F3F0, 0x00DA1660)
extracting baserom/ovl_Boss_Sst (0x00DA1660, 0x00DADB80)
extracting baserom/ovl_En_Ny (0x00DADB80, 0x00DAF4B0)
extracting baserom/ovl_En_Fr (0x00DAF4B0, 0x00DB1F40)
extracting baserom/ovl_Item_Shield (0x00DB1F40, 0x00DB2950)
extracting baserom/ovl_Bg_Ice_Shelter (0x00DB2950, 0x00DB3B80)
extracting baserom/ovl_En_Ice_Hono (0x00DB3B80, 0x00DB4D70)
extracting baserom/ovl_Item_Ocarina (0x00DB4D70, 0x00DB5540)
extracting baserom/ovl_Magic_Dark (0x00DB5540, 0x00DB6D90)
extracting baserom/ovl_Demo_6K (0x00DB6D90, 0x00DB9AA0)
extracting baserom/ovl_En_Anubice_Tag (0x00DB9AA0, 0x00DB9D70)
extracting baserom/ovl_Bg_Haka_Gate (0x00DB9D70, 0x00DBADF0)
extracting baserom/ovl_Bg_Spot15_Saku (0x00DBADF0, 0x00DBB130)
extracting baserom/ovl_Bg_Jya_Goroiwa (0x00DBB130, 0x00DBB8B0)
extracting baserom/ovl_Bg_Jya_Zurerukabe (0x00DBB8B0, 0x00DBBF60)
extracting baserom/ovl_Bg_Jya_Cobra (0x00DBBF60, 0x00DBDC80)
extracting baserom/ovl_Bg_Jya_Kanaami (0x00DBDC80, 0x00DBE030)
extracting baserom/ovl_Fishing (0x00DBE030, 0x00DD1A00)
extracting baserom/ovl_Obj_Oshihiki (0x00DD1A00, 0x00DD34B0)
extracting baserom/ovl_Bg_Gate_Shutter (0x00DD34B0, 0x00DD3930)
extracting baserom/ovl_Eff_Dust (0x00DD3930, 0x00DD4D10)
extracting baserom/ovl_Bg_Spot01_Fusya (0x00DD4D10, 0x00DD4FB0)
